Quadratic DLL - Performance Test
Started : 2026-04-15 23:06:20
Duration: 30 min, sample every 10s
================================================================================

 Elapsed   ProcCPU%   SysCPU%   ProcRAM MB   SysRAM%    Calls/s   AvgLat us   MaxLat us    TotalCalls
   1460s       0.0%     31.7%       22.90     42.9%        0.0        0.00        0.00         1,157
   1470s       0.0%     32.2%       22.93     43.0%        1.6  1250950.54  20014978.70         1,173
   1480s       0.0%     32.0%       22.93     42.9%        0.0        0.00        0.00         1,173
   1490s       0.0%     32.7%       22.98     42.9%        1.6  1251181.69  20018750.80         1,189
   1500s       0.0%     31.8%       22.98     42.8%        0.0        0.00        0.00         1,189
   1510s       0.0%     31.7%       23.02     42.8%        1.6  1250886.01  20014032.70         1,205
   1520s       0.0%     31.6%       23.02     42.8%        0.0        0.00        0.00         1,205
   1530s       0.0%     31.8%       23.05     42.9%        1.6  1251088.09  20017258.30         1,221
   1540s       0.0%     31.4%       23.05     42.9%        0.0        0.00        0.00         1,221
   1550s       0.0%     33.4%       23.09     42.9%        1.6  1251071.09  20016962.60         1,237
   1560s       0.0%     33.1%       23.09     42.8%        0.0        0.00        0.00         1,237
   1570s       0.0%     37.5%       23.12     42.9%        1.6  1250974.38  20015460.00         1,253
   1580s       0.0%     31.2%       23.12     42.9%        0.0        0.00        0.00         1,253
   1590s       0.0%     32.6%       23.16     43.0%        1.6  1251127.05  20017808.10         1,269
   1600s       0.0%     31.3%       23.16     42.9%        0.0        0.00        0.00         1,269
   1610s       0.0%     31.2%       23.20     43.0%        1.6  1250970.29  20015388.30         1,285
   1620s       0.0%     34.2%       23.20     42.9%        0.0        0.00        0.00         1,285
   1630s       0.0%     31.9%       23.23     42.5%        1.6  1250622.66  20009793.20         1,301
   1640s       0.0%     37.3%       23.23     43.0%        0.0        0.00        0.00         1,301
   1650s       0.0%     32.2%       23.27     43.0%        1.6  1250983.72  20015550.40         1,317
   1660s       0.0%     32.4%       23.27     43.0%        0.0        0.00        0.00         1,317
   1670s       0.0%     30.5%       23.30     42.9%        1.6  1251665.96  20026298.00         1,333
   1680s       0.0%     34.9%       23.30     42.8%        0.0        0.00        0.00         1,333
   1690s       0.0%     37.4%       23.34     43.1%        1.6  1250496.87  20007741.20         1,349
